RoomWobjects	Cue1	Cue2	Obj1	Obj2	ExtLure	TrialType	OldOrNew	
111_01.jpg	111_kreis01.png	111_kreis02.png	JPEG\111_01.jpg	JPEG\111_02.jpg	JPEG\296_01.jpg	JPEG\61_01.jpg	1	3
119_01.jpg	119_kreis01.png	119_kreis02.png	JPEG\119_01.jpg	JPEG\119_02.jpg	JPEG\51_01.jpg	JPEG\62_02.jpg	1	3
120_01.jpg	120_kreis01.png	120_kreis02.png	JPEG\120_01.jpg	JPEG\120_02.jpg	JPEG\258_02.jpg	JPEG\534_02.jpg	1	3
122_01.jpg	122_kreis01.png	122_kreis02.png	JPEG\122_01.jpg	JPEG\122_02.jpg	JPEG\62_02.jpg	JPEG\51_01.jpg	1	3
144_01.jpg	144_kreis01.png	144_kreis02.png	JPEG\144_01.jpg	JPEG\144_02.jpg	JPEG\543_02.jpg	JPEG\347_01.jpg	1	3
149_01.jpg	149_kreis01.png	149_kreis02.png	JPEG\149_01.jpg	JPEG\149_02.jpg	JPEG\647_02.jpg	JPEG\308_02.jpg	1	3
154_01.jpg	154_kreis01.png	154_kreis02.png	JPEG\154_01.jpg	JPEG\154_02.jpg	JPEG\522_02.jpg	JPEG\522_01.jpg	1	3
158_01.jpg	158_kreis01.png	158_kreis02.png	JPEG\158_01.jpg	JPEG\158_02.jpg	JPEG\90_01.jpg	JPEG\406_02.jpg	1	3
159_01.jpg	159_kreis01.png	159_kreis02.png	JPEG\159_01.jpg	JPEG\159_02.jpg	JPEG\502_01.jpg	JPEG\532_01.jpg	1	3
167_01.jpg	167_kreis01.png	167_kreis02.png	JPEG\167_01.jpg	JPEG\167_02.jpg	JPEG\523_01.jpg	JPEG\268_01.jpg	1	3
173_01.jpg	173_kreis01.png	173_kreis02.png	JPEG\173_01.jpg	JPEG\173_02.jpg	JPEG\530_01.jpg	JPEG\555_02.jpg	1	3
184_01.jpg	184_kreis01.png	184_kreis02.png	JPEG\184_01.jpg	JPEG\184_02.jpg	JPEG\635_01.jpg	JPEG\635_02.jpg	1	3
185_01.jpg	185_kreis01.png	185_kreis02.png	JPEG\185_01.jpg	JPEG\185_02.jpg	JPEG\375_01.jpg	JPEG\285_02.jpg	1	3
189_01.jpg	189_kreis01.png	189_kreis02.png	JPEG\189_01.jpg	JPEG\189_02.jpg	JPEG\635_02.jpg	JPEG\635_01.jpg	1	3
210_01.jpg	210_kreis01.png	210_kreis02.png	JPEG\210_01.jpg	JPEG\210_02.jpg	JPEG\347_01.jpg	JPEG\543_02.jpg	1	3
214_01.jpg	214_kreis01.png	214_kreis02.png	JPEG\214_01.jpg	JPEG\214_02.jpg	JPEG\127_01.jpg	JPEG\267_02.jpg	1	3
225_01.jpg	225_kreis01.png	225_kreis02.png	JPEG\225_01.jpg	JPEG\225_02.jpg	JPEG\61_01.jpg	JPEG\296_01.jpg	1	3
